id,message,tone
65,Rot in hell Modi ,"{'document_tone': {'tones': [{'score': 0.609578, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
66,#jaijawanjaikisan,{'document_tone': {'tones': []}}
67,https://www.facebook.com/piyush.manush/videos/10159316663969617/,{'document_tone': {'tones': []}}
68,Y,{'document_tone': {'tones': []}}
69,BJP  RSS,{'document_tone': {'tones': []}}
70,BJP becoming worst day by day,"{'document_tone': {'tones': [{'score': 0.699253, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
71,,{'document_tone': {'tones': []}}
72,,{'document_tone': {'tones': []}}
73,,{'document_tone': {'tones': []}}
74,,{'document_tone': {'tones': []}}
75,,{'document_tone': {'tones': []}}
76,#isupportfarmers,{'document_tone': {'tones': []}}
77,Jai Hind,{'document_tone': {'tones': []}}
78,I support farmers,"{'document_tone': {'tones': [{'score': 0.573718, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
80,I sapport farmer keep it up,"{'document_tone': {'tones': [{'score': 0.623918, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
81,,{'document_tone': {'tones': []}}
82,,{'document_tone': {'tones': []}}
83,,{'document_tone': {'tones': []}}
84,,{'document_tone': {'tones': []}}
85,,{'document_tone': {'tones': []}}
86,,{'document_tone': {'tones': []}}
87,,{'document_tone': {'tones': []}}
88,,{'document_tone': {'tones': []}}
89,,{'document_tone': {'tones': []}}
90,,{'document_tone': {'tones': []}}
91,,{'document_tone': {'tones': []}}
92,,{'document_tone': {'tones': []}}
93,Good,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
94,"Dear Arvind Kejriwal ji and Manish Bhai,  #ArvindKejriwal #ManishSisodia #Atishi #RaghavChadha I with 1500 residents of Okhla Ceiling club jhuggi will be coming to meet you tomorrow.  Need your immediate help to place them. 13500 more will join day after. Details are here. Kindly help ?? SOS ???? ???????????  https://m.facebook.com/story.php?story_fbid=923772791365495&id=100011983485468 Jai Bharat!  ~Anupam Tripathi  https://m.facebook.com/story.php?story_fbid=923712438038197&id=100011983485468","{'document_tone': {'tones': [{'score': 0.572701, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Dear Arvind Kejriwal ji and Manish Bhai,  #ArvindKejriwal #ManishSisodia #Atishi #RaghavChadha I with 1500 residents of Okhla Ceiling club jhuggi will be coming to meet you tomorrow.', 'tones': []}, {'sentence_id': 1, 'text': 'Need your immediate help to place them.', 'tones': []}, {'sentence_id': 2, 'text': '13500 more will join day after.', 'tones': [{'score': 0.712306, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'Details are here.', 'tones': []}, {'sentence_id': 4, 'text': 'Kindly help ?? SOS ???? ???????????  https://m.facebook.com/story.php?story_fbid=923772791365495&id=100011983485468 Jai Bharat!  ~Anupam Tripathi  https://m.facebook.com/story.php?story_fbid=923712438038197&id=100011983485468', 'tones': []}]}"
95,Am totally support our farmers..,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
96,"Just like in anti CAA agitation, the Hate Modi political parties like, Italiyan congress, NCP, AAP, CPM etc are trying to play dirty politics in the name of farmers, where great majority of them are happy, except a few misguided ones. Strangely the Akalidal also joined the band as this law will end the huge looting of farmers by the Badal family. It will soon pass into the hands of Islamic terrorists and Urban Maoists as happened in JNU, Jamia milia, Shaheen bagh which culminated in Anti Hindu Delhi riots and Bangaluru riots.","{'document_tone': {'tones': [{'score': 0.51338, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.660039, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Just like in anti CAA agitation, the Hate Modi political parties like, Italiyan congress, NCP, AAP, CPM etc are trying to play dirty politics in the name of farmers, where great majority of them are happy, except a few misguided ones.', 'tones': [{'score': 0.602632, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Strangely the Akalidal also joined the band as this law will end the huge looting of farmers by the Badal family.', 'tones': [{'score': 0.54899, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'It will soon pass into the hands of Islamic terrorists and Urban Maoists as happened in JNU, Jamia milia, Shaheen bagh which culminated in Anti Hindu Delhi riots and Bangaluru riots.', 'tones': [{'score': 0.551992, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
97,https://www.facebook.com/groups/sanatanabhara/permalink/1219655335073184/,{'document_tone': {'tones': []}}
98,#BhandmeJayeUmarKhalid ,{'document_tone': {'tones': []}}
99,They r Congress party Labourers ,{'document_tone': {'tones': []}}
100,https://www.facebook.com/100003811549692/posts/1940636432740056/,{'document_tone': {'tones': []}}
101,https://youtu.be/v9LzO__3U6o,{'document_tone': {'tones': []}}
102,,{'document_tone': {'tones': []}}
103,It’s conspiracy of congress #BhaktsLogic,{'document_tone': {'tones': []}}
104,#BoycottBJP,{'document_tone': {'tones': []}}
105,,{'document_tone': {'tones': []}}
106,Jay hind,{'document_tone': {'tones': []}}
107,,{'document_tone': {'tones': []}}
108,?,{'document_tone': {'tones': []}}
109,,{'document_tone': {'tones': []}}
